,PRECT,Q_IL
0,5.37789267812,20.5672
1,0.397116963911,36.9043
2,0.168521699406,49.8813
3,0.0883711556745,60.1893
4,0.0529520570103,68.3772
5,0.0403287915616,74.8811
6,0.0340642338454,80.0474
7,0.0293347624916,84.1511
8,0.0250522227908,87.4107
9,0.0215507674121,90.0
10,0.0175379215716,92.0567
11,0.0147492000977,93.6904
12,0.0120598957279,94.9881
13,0.00946822967039,96.0189
14,0.00733284368759,96.8377
15,0.00574832599336,97.4881
16,0.00423345446823,98.0047
17,0.00324050610883,98.4151
18,0.00239511830675,98.7411
19,0.00167644966924,99.0
20,0.00121628046913,99.2057
21,0.000993774485272,99.369
22,0.000699882756842,99.4988
23,0.000488103549781,99.6019
24,0.0004262859397,99.6838
25,0.000253817394496,99.7488
26,0.000203068584535,99.8005
27,0.000166331527035,99.8415
28,0.000129174158467,99.8741
29,0.00010233755926,99.9
30,7.0841814861e-05,99.9206
31,4.19779015618e-05,99.9369
32,3.42345800628e-05,99.9499
33,2.87871174181e-05,99.9602
34,2.08889218651e-05,99.9684
35,1.25125548343e-05,99.9749
36,1.11265244189e-05,99.98
37,1.27966783712e-05,99.9842
38,1.00719186872e-05,99.9874
39,5.54962140244e-06,99.99
40,4.782593639e-06,99.9921
41,2.36548358257e-06,99.9937
42,4.73208919117e-06,99.995
43,2.06512435324e-06,99.996
44,2.28385433018e-06,99.9968
45,8.45260611678e-07,99.9975
46,7.72339382056e-07,99.998
47,2.59039628016e-06,99.9984
48,1.32812493671e-06,99.9987
