,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25,CRM_PREC_I25
,20.5672,36.9043,49.8813,60.1893,68.3772,74.8811,80.0474,84.1511,87.4107,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411
,,,,,,,,,,,,,,,,,,,
0,1.1225762016,0.109527291314,0.0510901078612,0.0327992719156,0.00643046574255,0.00370699680104,0.0,0.0,0.00799051228056,0.00433687139692,0.0,0.0,0.00813936040923,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0229095970003,0.007108060015,0.000973139754896,0.000306692865449,0.000110235971437,0.000127096359685,0.000124061368051,0.0,0.000273958969317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0027941692728,0.00165025972079,0.000742989571285,0.000267056023747,0.000123160699752,0.0,0.000116572901406,6.63688921699e-05,7.20437789195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,6.7416443591e-05,0.00185887177662,0.00133612284171,0.000775786095466,0.000638886532889,0.000374178162914,0.0,0.000137713382582,0.000149488595706,7.44251087895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.000617625288719,0.00124359470302,0.000874547095415,0.000873866464071,0.000196845925459,0.000254499638685,7.24476223612e-05,0.00015728454455,0.0,0.0,0.000147594369043,0.0,0.0,0.0,0.0,0.0,7.36921338534e-05
5,0.0,0.0,0.000173668820558,0.000912218893334,0.000721342306383,0.000982883058144,0.000442805698933,0.000357811223813,0.000162971217112,0.0,8.80753223521e-05,0.0,0.00033201412521,0.0,0.0,0.00012591235694,0.0,0.0,8.28853753531e-05
6,0.0,0.0,0.0,0.000192948873332,0.000554819727112,0.000399798987333,0.000936604814244,0.000227048375137,0.000172355083616,9.35461715097e-05,0.000465733453351,0.000135792074398,0.0,0.0,0.00013755398828,0.0,9.23794125021e-05,0.0,0.0
7,0.0,0.0,0.0,0.0,0.00044858254164,0.000591077043362,0.000288481223243,0.000489528074158,0.000796299644164,0.000345754968282,0.0,0.0,0.000486679920137,0.00011695725626,0.0,0.00012304499752,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.000546512504354,0.000180028737884,0.000263594624967,0.000255598649007,0.000388055862502,0.000210618332267,0.000209718904884,0.00015286729421,0.00019764230458,0.000427470512701,0.000154850760543,0.0,0.000103995692624,0.0,0.0
9,0.0,0.0,0.0,0.0,0.000177827702498,0.000205026121182,0.000400260418838,0.0003881187726,0.000110484566555,0.000239863147529,0.000119419416345,0.000348186503508,0.000225085370068,0.000162275242217,0.0,0.000341443659242,0.000118435721591,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.000560246255722,0.000437494304969,0.000106055798096,0.0,0.000131088106739,0.00013052830631,0.000570864386719,0.000246023745797,0.0,0.0,0.0,0.0,0.0,0.000122836764871
11,0.0,0.0,0.0,0.0,0.0,0.000364181225816,0.000236989851403,0.000689402743186,0.000130833426329,0.0,0.000141413881575,0.0,0.000533082422292,0.000384325641302,0.000208832361825,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,9.76876768524e-05,0.000286064845495,0.000184924833087,0.000105283956723,0.0,0.0,0.000165898522798,0.000214490395357,0.000154636797804,0.0,0.000162685796595,0.000112860843602,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151733109622,0.000164707082595,0.000164003715236,0.0,0.000309119220862,0.000445718852577,0.0,0.0,0.0,0.000123519279247,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144042746713,0.000164016806808,0.000178041100015,0.000177280790887,0.0,0.0,0.0,0.00026179867107,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.000107701410236,0.0,0.0,0.000129083956528,0.0,0.0,0.000242262393571,0.0,0.0,0.0,0.000127473950831,9.68043208675e-05,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15992871318e-05,0.0,0.0,0.000100428424816,0.000146407607573,0.0,0.0,0.0,0.0,0.0,7.5637595352e-05,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112757431221,0.000122398780224,0.000121876086813,0.000177674660567,0.0,0.0,0.0,0.0,0.0,9.17908864376e-05,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023142158903,0.0,0.0,0.0,0.0,0.0,0.0,0.000357594896056,0.0,0.0,0.0
