,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,T,U,V
0,0.0,-3.80838249825e-10,8.04512623187e-10,8.0201189121e-06,277.644439697,2.88011278826e-06,0.00407955469564,243.888671875,-7.56657409668,-0.431682705879
1,0.0,2.3170967367e-09,-5.80868741995e-10,-2.75647416856e-05,512.624084473,2.82739233626e-06,0.0220460034907,235.014511108,-6.57165718079,-0.22878164053
2,0.0,2.05448795754e-08,-2.7721318574e-09,-0.000104435443063,839.734680176,2.74680996881e-06,0.0954673737288,227.550003052,-4.31975030899,-0.364105850458
3,0.0,1.14892371172e-08,-5.71456881815e-10,-3.87345135096e-05,1211.3770752,2.71655676443e-06,0.414281994104,219.929656982,-4.32745599747,-0.369905382395
4,0.0,-4.90462381819e-09,1.530060878e-08,-7.96822314442e-06,1519.83093262,2.95033942166e-06,2.14142632484,211.535003662,-3.92523169518,-0.52524793148
5,0.0,-5.5395430465e-09,8.94352947256e-09,-0.000102529702417,1745.59484863,3.29530689669e-06,11.1144742966,203.519012451,-2.41286039352,-0.451804369688
6,0.0,-6.92078145903e-08,3.92429200247e-08,-6.56034098938e-05,1737.78771973,3.29308204527e-06,45.8839874268,196.212371826,-0.972780227661,-0.364618957043
7,4.32053792978e-24,-3.88239783433e-07,1.35803347234e-07,0.000102845944639,1423.95837402,2.79459732155e-06,74.7558441162,193.538360596,0.848526895046,-0.134022027254
8,9.545912026e-16,-7.77734612711e-07,5.99672205226e-07,3.45412299794e-05,1675.21289062,2.40996700995e-06,77.505355835,193.631561279,4.01653957367,0.512542307377
9,1.80177019951e-14,1.03849416178e-07,1.65667518104e-06,-0.000704076548573,1970.80078125,2.63230367636e-06,69.1923599243,196.068878174,7.78833961487,0.653837203979
10,1.16609185415e-12,-1.13710984806e-06,6.01250405907e-07,-0.00169684225693,2318.54370117,4.29099873145e-06,60.8295097351,201.020080566,10.4687051773,0.889179646969
11,7.99260223977e-12,-9.71485633272e-07,-5.90415396573e-08,-0.00273894751444,2727.62744141,9.64742412179e-06,58.9827308655,207.374282837,11.8621454239,0.722788155079
12,3.52693881045e-11,-1.13551607228e-06,8.46372472552e-07,-0.00436345720664,3031.34204102,2.41311063292e-05,59.0947761536,214.646972656,12.0449676514,0.511203885078
13,1.26847102266e-10,-3.33124535246e-06,1.45636283833e-06,-0.00676897307858,3566.08105469,6.07719339314e-05,61.0368347168,222.265991211,11.2324819565,0.350592643023
14,6.46260267523e-10,-2.38369193539e-06,1.17968488667e-06,-0.00957036390901,4194.96435547,0.0001428892283,60.163898468,230.463882446,9.65148544312,0.392811000347
15,2.03174610469e-09,-2.9162492865e-06,-6.11147697782e-07,-0.0117742894217,4934.40625,0.000293958291877,54.5890617371,239.118331909,7.5271282196,0.178565695882
16,3.70887964785e-09,-1.02117667211e-07,-7.40931625387e-07,-0.0126036331058,5803.66845703,0.000532788748387,46.6798667908,247.89604187,5.3891377449,0.0230487342924
17,1.90551241452e-09,3.13293594445e-06,1.11897702482e-06,-0.0119370054454,6824.81494141,0.000949122128077,40.5485801697,256.638763428,3.01903223991,0.0545071586967
18,1.05132758055e-09,3.28636747327e-06,1.75873128683e-06,-0.00969757791609,8023.28125,0.00165823556017,41.8167533875,264.724151611,0.722432971001,-0.138700902462
19,1.50722634373e-09,1.83516033303e-06,9.06252125787e-07,-0.00891305785626,8018.98046875,0.00259123346768,45.2793464661,271.524749756,-0.774755299091,-0.437875300646
20,1.08165110202e-09,-1.51035806084e-06,9.36965932397e-07,-0.01118961256,7349.87548828,0.00394179252908,51.6175193787,277.474090576,-1.22070765495,-0.342232465744
21,2.73037836784e-09,-4.84167867398e-06,1.28831686652e-06,-0.0154479993507,6191.44384766,0.00568307377398,57.52368927,282.796569824,-1.42194700241,-0.298750460148
22,2.56074916827e-09,-1.53374708134e-06,5.93389540882e-06,-0.0191289484501,4593.63769531,0.00737287709489,62.1608505249,286.794067383,-1.52679443359,-0.249523103237
23,2.90591462004e-09,6.71622910886e-06,1.63761046679e-06,-0.0217600110918,2656.52514648,0.00842374004424,62.679977417,289.526947021,-1.58467113972,-0.14228643477
24,2.2529906829e-09,1.62146643561e-05,-4.81410779685e-06,-0.023507617414,2490.64697266,0.00906577240676,61.7733802795,291.488037109,-1.69041752815,-0.0434192679822
25,1.87084547854e-09,2.74348058156e-05,-1.32006489366e-05,-0.0247667953372,2305.21484375,0.00954484939575,59.7366485596,293.371948242,-1.80904436111,0.0482891947031
26,1.44921741274e-09,3.69750596292e-05,-2.07371140277e-05,-0.0244908761233,2101.23999023,0.00990514084697,57.0950164795,295.155944824,-1.86960208416,0.104248210788
27,1.25636412385e-09,4.36332666141e-05,-2.9509239539e-05,-0.0227554552257,1879.93261719,0.0101404087618,54.0958251953,296.779724121,-1.79648590088,0.190251082182
28,1.02506647615e-09,5.16616855748e-05,-4.56209127151e-05,-0.0185712408274,1642.7454834,0.0103617850691,51.899597168,298.136901855,-1.53025722504,0.311569720507
29,9.17531106648e-10,5.67906245124e-05,-7.86554519436e-05,-0.0103020993993,1406.08984375,0.0108283720911,53.3707046509,298.660369873,-0.942210733891,0.396532148123
