,OMEGA
0,-1.25716032926e-05
1,-4.33336317656e-05
2,-4.98411500303e-05
3,-9.33625233301e-06
4,-6.45481486572e-05
5,2.20739148062e-05
6,0.000146449674503
7,-0.000126034399727
8,-0.000625558313914
9,-0.00109997077379
10,-0.0010053194128
11,-0.000766754208598
12,-0.00122121546883
13,-0.00154967349954
14,-0.000824647780973
15,0.0012105422793
16,0.00525523116812
17,0.00994144473225
18,0.0119933551177
19,0.0107677122578
20,0.0071917003952
21,0.00224261195399
22,-0.00320565560833
23,-0.00737218046561
24,-0.00964525248855
25,-0.0110758803785
26,-0.0115776406601
27,-0.0107477167621
28,-0.00929102115333
29,-0.00662367418408
